,factory gate price change (percent),baseline imr,experiment imr,imr change (percent),baseline omr,experiment omr,omr change (percent),terms of trade change (percent),GDP change (percent),welfare statistic,baseline output,experiment output,output change (percent),baseline expenditure,experiment expenditure,expenditure change (percent),baseline modeled foreign exports,experiment foreign exports,foreign exports change (percent),baseline modeled foreign imports,experiment foreign imports,foreign imports change (percent),baseline modeled intranational trade,experiment modeled intranational trade,intranational trade change (percent),baseline observed foreign exports,experiment observed foreign exports,baseline observed foreign imports,experiment observed foreign imports,baseline observed intranational trade,experiment observed intranational trade
ARE,11.191513316952229,1.0379227009604326,1.037644072784257,-0.026844790649409197,4.521917267589458,4.066782736289362,-10.065078690453783,11.221370461009887,11.221370461009895,0.8991077846415884,348743270.40000004,387772919.9487908,11.191513316952236,348743270.40000004,387772919.9487908,11.191513316952236,236098874.61761275,275452507.8267288,16.668284960211466,236098874.63867408,275452507.826729,16.668284949804082,112644395.76029319,123040418.23993121,9.229063203251336,44266446.688,51644904.16371593,72618401.93,84722644.08968644,,
BHR,7.228705965936166,0.9730690768066661,1.008759519826413,3.6678221382671716,4.640246469328989,4.327429327303829,-6.741390658724985,3.4348978827004317,3.4348978827004304,0.9667916926200696,31858509.824,34161467.82430585,7.228705965936162,31858509.824,34161467.82430585,7.228705965936162,27129147.881192688,30570551.23160308,12.685261496164232,27129147.882533077,30570551.231603067,12.685261490596668,4729361.94152493,4462229.754302854,-5.64837689576245,4942827.536,5569838.134246011,8053647.772,9075274.05140981,,
IND,11.16166420184217,1.0,1.0,0.0,2.5237764181476545,2.2703658106041513,-10.040929367645646,11.16166420184217,11.16166420184216,0.899590706184685,2263522476.0320005,2516169253.9399157,11.16166420184216,2263522476.0320005,2516169253.9399157,11.16166420184216,915686637.766935,1111861231.6780405,21.423769422857607,915686637.8380604,1111861231.6780424,21.4237694134263,1347835838.1939483,1474601989.3343275,9.405162524112823,86041356.844,104474658.74255668,82534857.813,100216935.43655637,,
IRQ,11.960847477861547,1.1196598362684984,1.1116676372347107,-0.7138059949013938,5.130894226045751,4.582757583761069,-10.68306260343856,12.765776349642387,12.765776349642387,0.8867938769821375,171489001.47200003,192000539.3793737,11.960847477861547,171489001.47200003,192000539.3793737,11.960847477861547,146085617.38100553,169287939.4539138,15.882687487567216,146085617.40386745,169287939.45391384,15.882687469431971,25403384.073093154,26623341.812956497,4.802343405717755,16711680.594,19365944.59666544,3833761.4310000003,4442665.777409353,,
ISR,6.107524340355974,0.9690202030527644,1.0151768127640757,4.7632247053158725,4.25799627370815,4.01290700176395,-5.755976665774756,1.2831789388131347,1.2831789388131578,0.9873307793825434,318743674.88000005,338211022.4066412,6.10752434035598,318743674.88000005,338211022.4066412,6.10752434035598,188993146.47166222,211009959.0428492,11.649529616402365,188993146.6818007,211009959.0428493,11.649529492261076,129750528.26242597,130391057.77352172,0.49366235318922874,20076275.0,22415066.601995382,16170703.859000001,18054514.774160407,,
JOR,6.408378525292013,1.0696057128092342,1.1173852347343958,4.467021945841374,5.090723594640367,4.784137926833579,-6.02243791294362,1.858343947487178,1.858343947487174,0.9817556041511412,38654726.144,41131867.313222535,6.408378525292013,38654726.144,41131867.313222535,6.408378525292013,36349437.283937275,39316531.25832664,8.162695755679604,36349437.32198119,39316531.25832665,8.162695642474775,2305288.844944432,2277645.6642095107,-1.1991200493397423,3611719.284,3906532.9407021296,5108021.274,5524973.503949483,,
MAR,6.032193510200723,1.0950382902725568,1.1480124541360848,4.837654019417219,5.119290819188227,4.828053301275049,-5.6890207686884215,1.1394183721072726,1.1394183721072764,0.9887341810893634,101445001.21599999,107564359.99577458,6.032193510200719,101445001.21599999,107564359.99577458,6.032193510200719,91008775.91627696,97403602.35175271,7.026604161074135,91008775.9386935,97403602.3517527,7.026604134712207,10436225.277786627,10532530.747309605,0.922799833843777,1806990.4819999998,1933960.5503984252,3362826.703,3599119.2231562044,,
OMN,7.254731589015573,1.0821629274903677,1.121582518168203,3.642666892059678,5.110059631583254,4.764414171606313,-6.764020087762646,3.4851136170760055,3.4851136170760015,0.9663225608470422,66293366.78400001,71102772.60550082,7.254731589015576,66293366.78400001,71102772.60550082,7.254731589015576,61662521.67454605,68266756.85310961,10.710290463663858,61662521.670280755,68266756.85310961,10.710290471321862,4630845.107693305,4362920.0858635735,-5.785661485084508,6967451.557,7713685.85666977,16434689.919,18194892.947385952,,
QAT,11.150429918813298,1.0247052201085718,1.0248087899458518,0.010107281123152616,4.721295601647219,4.24766292493974,-10.031836950480974,11.139196767757955,11.139196767757971,0.8997725636704483,152468684.79999998,169469598.6467603,11.150429918813293,152468684.79999998,169469598.6467603,11.150429918813293,113031313.37430997,131048373.18695626,15.939883625860128,113031313.38064045,131048373.18695626,15.939883619366753,39437371.41849234,43172692.55327946,9.471526626735606,13088327.464,15174591.630333092,10824832.741999999,12550298.483065905,,
SAU,11.677979597641786,1.0971261247641504,1.0920538335380043,-0.4623252615770539,4.390870531061567,3.9317245378193375,-10.456832876172804,12.196693253205474,12.196693253205472,0.8912918652096102,646438387.712,721929330.7403319,11.677979597641787,646438387.712,721929330.7403319,11.677979597641787,460975636.65522563,541183100.282289,17.399501676278916,460975636.6679629,541183100.282289,17.399501673035036,185462751.0336745,197341969.9036071,6.4051777533353205,61006698.157,71621559.62546962,34981742.163,41068390.97590799,,
USA,5.53676771283147,0.5056705841663668,0.5326218046171156,5.329797954369798,0.012212431879503167,0.011571731961388455,-5.246292666655822,0.1964968721874288,0.19649687218743014,0.9980388848081377,18569100263.424004,19597228211.372566,5.536767712831464,18569100263.424004,19597228211.372566,5.536767712831464,1152352689.3188267,1411669852.2264555,22.50328092356127,1152352688.9170363,1411669852.2264533,22.503280966274254,17416747580.851124,18078404124.59531,3.7989672909518766,87534614.75,107232775.0125496,92130902.75,112863378.6525974,,
